REF_AREA;QUARTER;UNE_RATE_PCT
CZE;2023Q2;2.566666666666667
CZE;2023Q3;2.6333333333333333
CZE;2023Q4;2.766666666666667
CZE;2024Q1;2.8666666666666667
CZE;2024Q2;2.6999999999999997
CZE;2024Q3;2.733333333333333
CZE;2024Q4;2.6666666666666665
CZE;2025Q1;2.6333333333333333
CZE;2025Q2;2.9
CZE;2025Q3;3.0
CZE;2025Q4;3.1666666666666665
DEU;2023Q1;3.033333333333333
DEU;2023Q2;3.0
DEU;2023Q3;3.0666666666666664
DEU;2023Q4;3.1666666666666665
DEU;2024Q1;3.233333333333333
DEU;2024Q2;3.4
DEU;2024Q3;3.4
DEU;2024Q4;3.4333333333333336
DEU;2025Q1;3.5666666666666664
DEU;2025Q2;3.7000000000000006
DEU;2025Q3;3.7999999999999994
DEU;2025Q4;3.9
DNK;2023Q1;4.8
DNK;2023Q2;4.8
DNK;2023Q3;4.833333333333333
DNK;2023Q4;6.033333333333334
DNK;2024Q1;5.8
DNK;2024Q2;6.066666666666666
DNK;2024Q3;6.3
DNK;2024Q4;6.6000000000000005
DNK;2025Q1;6.366666666666667
DNK;2025Q2;6.266666666666667
DNK;2025Q3;6.3999999999999995
DNK;2025Q4;6.466666666666666
EA;2023Q1;6.566666666666666
EA;2023Q2;6.5
EA;2023Q3;6.566666666666666
EA;2023Q4;6.533333333333334
EA;2024Q1;6.466666666666666
EA;2024Q2;6.400000000000001
EA;2024Q3;6.333333333333333
EA;2024Q4;6.2
EA;2025Q1;6.3
EA;2025Q2;6.3
EA;2025Q3;6.3
EA;2025Q4;6.3
ESP;2023Q1;12.833333333333334
ESP;2023Q2;12.0
ESP;2023Q3;12.0
ESP;2023Q4;11.966666666666667
ESP;2024Q1;11.766666666666666
ESP;2024Q2;11.566666666666668
ESP;2024Q3;11.266666666666666
ESP;2024Q4;10.833333333333334
ESP;2025Q1;10.833333333333334
ESP;2025Q2;10.566666666666666
ESP;2025Q3;10.5
ESP;2025Q4;10.2
EST;2023Q1;5.466666666666666
EST;2023Q2;6.766666666666667
EST;2023Q3;7.1000000000000005
EST;2023Q4;6.3999999999999995
EST;2024Q1;7.666666666666667
EST;2024Q2;7.633333333333333
EST;2024Q3;7.7
EST;2024Q4;7.533333333333334
EST;2025Q1;8.166666666666666
EST;2025Q2;7.7
EST;2025Q3;7.3999999999999995
EST;2025Q4;6.566666666666666
EU27_2020;2023Q1;6.066666666666666
EU27_2020;2023Q2;6.0
EU27_2020;2023Q3;6.066666666666666
EU27_2020;2023Q4;6.099999999999999
EU27_2020;2024Q1;6.066666666666666
EU27_2020;2024Q2;6.0
EU27_2020;2024Q3;5.933333333333334
EU27_2020;2024Q4;5.833333333333333
EU27_2020;2025Q1;6.0
EU27_2020;2025Q2;6.0
EU27_2020;2025Q3;6.0
EU27_2020;2025Q4;6.0
FIN;2023Q1;6.766666666666667
FIN;2023Q2;7.133333333333333
FIN;2023Q3;7.433333333333334
FIN;2023Q4;7.533333333333334
FIN;2024Q1;7.966666666666666
FIN;2024Q2;8.3
FIN;2024Q3;8.5
FIN;2024Q4;8.799999999999999
FIN;2025Q1;9.266666666666666
FIN;2025Q2;9.299999999999999
FIN;2025Q3;9.933333333333332
FIN;2025Q4;10.433333333333334
FRA;2023Q1;7.099999999999999
FRA;2023Q2;7.3
FRA;2023Q3;7.400000000000001
FRA;2023Q4;7.566666666666666
FRA;2024Q1;7.5
FRA;2024Q2;7.433333333333334
FRA;2024Q3;7.5
FRA;2024Q4;7.366666666666667
FRA;2025Q1;7.466666666666666
FRA;2025Q2;7.6000000000000005
FRA;2025Q3;7.8
FRA;2025Q4;8.0
G7;2023Q1;3.995001
G7;2023Q2;4.0268413333333335
G7;2023Q3;4.108447666666667
G7;2023Q4;4.154478999999999
G7;2024Q1;4.194310333333333
G7;2024Q2;4.268311333333333
G7;2024Q3;4.321204000000001
G7;2024Q4;4.3260483333333335
G7;2025Q1;4.355719333333333
G7;2025Q2;4.4373586666666665
G7;2025Q3;4.545800666666667
G7;2025Q4;4.6165365000000005
GBR;2023Q1;3.966666666666667
GBR;2023Q2;4.166666666666667
GBR;2023Q3;4.133333333333333
GBR;2023Q4;4.0
GBR;2024Q1;4.3
GBR;2024Q2;4.266666666666667
GBR;2024Q3;4.233333333333333
GBR;2024Q4;4.4
GBR;2025Q1;4.5
GBR;2025Q2;4.7
GBR;2025Q3;4.966666666666666
GBR;2025Q4;5.166666666666667
GRC;2023Q1;11.033333333333333
GRC;2023Q2;11.433333333333332
GRC;2023Q3;11.299999999999999
GRC;2023Q4;10.433333333333334
GRC;2024Q1;11.266666666666666
GRC;2024Q2;10.033333333333333
GRC;2024Q3;9.666666666666666
GRC;2024Q4;9.6
GRC;2025Q1;9.433333333333334
GRC;2025Q2;8.866666666666667
GRC;2025Q3;8.766666666666666
GRC;2025Q4;8.566666666666666
HRV;2023Q1;6.333333333333333
HRV;2023Q2;6.133333333333333
HRV;2023Q3;6.066666666666666
HRV;2023Q4;5.7
HRV;2024Q1;5.366666666666667
HRV;2024Q2;5.166666666666667
HRV;2024Q3;5.033333333333333
HRV;2024Q4;4.9
HRV;2025Q1;4.966666666666667
HRV;2025Q2;4.833333333333333
HRV;2025Q3;4.866666666666667
HRV;2025Q4;4.733333333333333
HUN;2023Q1;3.9
HUN;2023Q2;4.0
HUN;2023Q3;4.1000000000000005
HUN;2023Q4;4.3
HUN;2024Q1;4.3
HUN;2024Q2;4.3
HUN;2024Q3;4.3999999999999995
HUN;2024Q4;4.466666666666667
HUN;2025Q1;4.266666666666667
HUN;2025Q2;4.333333333333333
HUN;2025Q3;4.366666666666666
HUN;2025Q4;4.466666666666667
IRL;2023Q1;4.2
IRL;2023Q2;4.166666666666667
IRL;2023Q3;4.3999999999999995
IRL;2023Q4;4.466666666666667
IRL;2024Q1;4.266666666666667
IRL;2024Q2;4.4
IRL;2024Q3;4.233333333333333
IRL;2024Q4;4.333333333333333
IRL;2025Q1;4.433333333333334
IRL;2025Q2;4.633333333333333
IRL;2025Q3;5.0
IRL;2025Q4;4.666666666666667
ISL;2023Q1;3.4
ISL;2023Q2;3.4333333333333336
ISL;2023Q3;3.5
ISL;2023Q4;3.533333333333333
ISL;2024Q1;3.533333333333333
ISL;2024Q2;3.3333333333333335
ISL;2024Q3;3.3666666666666667
ISL;2024Q4;3.6
ISL;2025Q1;3.9
ISL;2025Q2;4.1000000000000005
ISL;2025Q3;4.5
ISL;2025Q4;5.166666666666667
ISR;2023Q1;3.893168333333333
ISR;2023Q2;3.4927646666666665
ISR;2023Q3;3.309284333333333
ISR;2023Q4;3.0737520000000003
ISR;2024Q1;3.2838119999999997
ISR;2024Q2;3.2219123333333335
ISR;2024Q3;2.7073393333333335
ISR;2024Q4;2.7225396666666666
ISR;2025Q1;2.874769
ISR;2025Q2;2.947134
ISR;2025Q3;3.0264736666666665
ISR;2025Q4;3.1428076666666667
ITA;2023Q1;7.866666666666667
ITA;2023Q2;7.7
ITA;2023Q3;7.7
ITA;2023Q4;7.466666666666666
ITA;2024Q1;7.1000000000000005
ITA;2024Q2;6.666666666666667
ITA;2024Q3;6.266666666666667
ITA;2024Q4;6.2
ITA;2025Q1;6.3
ITA;2025Q2;6.266666666666667
ITA;2025Q3;5.966666666666666
ITA;2025Q4;5.666666666666667
JPN;2023Q1;2.6
JPN;2023Q2;2.533333333333333
JPN;2023Q3;2.6
JPN;2023Q4;2.533333333333333
JPN;2024Q1;2.566666666666667
JPN;2024Q2;2.566666666666667
JPN;2024Q3;2.533333333333333
JPN;2024Q4;2.5
JPN;2025Q1;2.466666666666667
JPN;2025Q2;2.5
JPN;2025Q3;2.533333333333333
JPN;2025Q4;2.6
KOR;2023Q1;2.7000000000000006
KOR;2023Q2;2.566666666666667
KOR;2023Q3;2.8000000000000003
KOR;2023Q4;2.733333333333333
KOR;2024Q1;2.766666666666667
KOR;2024Q2;2.7999999999999994
KOR;2024Q3;2.6333333333333333
KOR;2024Q4;2.9
KOR;2025Q1;2.7999999999999994
KOR;2025Q2;2.7000000000000006
KOR;2025Q3;2.733333333333333
KOR;2025Q4;2.9333333333333336
LTU;2023Q1;6.733333333333333
LTU;2023Q2;6.633333333333333
LTU;2023Q3;6.833333333333333
LTU;2023Q4;7.166666666666667
LTU;2024Q1;7.333333333333333
LTU;2024Q2;7.133333333333333
LTU;2024Q3;7.099999999999999
LTU;2024Q4;6.766666666666667
LTU;2025Q1;6.733333333333333
LTU;2025Q2;6.966666666666666
LTU;2025Q3;6.766666666666667
LTU;2025Q4;6.7
LUX;2023Q1;4.9
LUX;2023Q2;5.033333333333334
LUX;2023Q3;5.333333333333333
LUX;2023Q4;5.666666666666667
LUX;2024Q1;5.966666666666666
LUX;2024Q2;6.233333333333333
LUX;2024Q3;6.466666666666666
LUX;2024Q4;6.566666666666666
LUX;2025Q1;6.5
LUX;2025Q2;6.466666666666666
LUX;2025Q3;6.5
LUX;2025Q4;6.733333333333333
LVA;2023Q1;6.066666666666666
LVA;2023Q2;6.3999999999999995
LVA;2023Q3;6.633333333333333
LVA;2023Q4;6.966666666666666
LVA;2024Q1;6.833333333333333
LVA;2024Q2;6.8999999999999995
LVA;2024Q3;6.833333333333333
LVA;2024Q4;7.0
LVA;2025Q1;7.066666666666666
LVA;2025Q2;6.666666666666667
LVA;2025Q3;7.1000000000000005
LVA;2025Q4;6.900000000000001
MEX;2023Q1;2.8005506666666666
MEX;2023Q2;2.846890666666667
MEX;2023Q3;2.766870666666667
MEX;2023Q4;2.7724393333333333
MEX;2024Q1;2.6270623333333334
MEX;2024Q2;2.712621
MEX;2024Q3;2.7392646666666667
MEX;2024Q4;2.607165333333333
