REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT
FIN;2023Q1;54420.2;A;2020.0;6.766666666666667
EST;2025Q1;40963.7;A;2020.0;8.166666666666666
EST;2024Q4;40814.5;A;2020.0;7.533333333333334
EST;2024Q3;40810.5;A;2020.0;7.7
EST;2024Q2;40838.0;A;2020.0;7.633333333333333
EST;2024Q1;41073.2;A;2020.0;7.666666666666667
EST;2023Q4;41168.0;A;2020.0;6.3999999999999995
EST;2023Q3;41037.0;A;2020.0;7.1000000000000005
EST;2023Q2;41209.3;A;2020.0;6.766666666666667
EST;2023Q1;41294.0;A;2020.0;5.466666666666666
EST;2025Q4;41451.5;A;2020.0;6.566666666666666
EST;2025Q3;41344.7;A;2020.0;7.3999999999999995
EST;2025Q2;41249.3;A;2020.0;7.7
DNK;2024Q1;67010.8;A;2020.0;5.8
DNK;2023Q4;66635.5;A;2020.0;6.033333333333334
DNK;2025Q4;70859.2;A;2020.0;6.466666666666666
DNK;2024Q2;68103.3;A;2020.0;6.066666666666666
AUT;2024Q2;61909.8;A;2020.0;5.133333333333334
AUT;2024Q1;62064.2;A;2020.0;4.866666666666667
DNK;2025Q1;68401.6;A;2020.0;6.366666666666667
CZE;2025Q2;48784.5;A;2020.0;2.9
ITA;2024Q3;51967.1;A;2020.0;6.266666666666667
ITA;2023Q3;51618.6;A;2020.0;7.7
ITA;2025Q4;52475.8;A;2020.0;5.666666666666667
ITA;2025Q3;52333.8;A;2020.0;5.966666666666666
ITA;2024Q2;51982.5;A;2020.0;6.666666666666667
ITA;2024Q1;51858.5;A;2020.0;7.1000000000000005
ITA;2025Q2;52232.0;A;2020.0;6.266666666666667
ITA;2023Q2;51584.8;A;2020.0;7.7
ITA;2023Q1;51544.9;A;2020.0;7.866666666666667
ITA;2023Q4;51780.7;A;2020.0;7.466666666666666
ITA;2025Q1;52207.8;A;2020.0;6.3
ISR;2024Q3;45185.0;A;2020.0;2.7073393333333335
ISR;2024Q2;44796.5;A;2020.0;3.2219123333333335
ISR;2024Q1;44725.3;A;2020.0;3.2838119999999997
ISR;2023Q4;43297.1;A;2020.0;3.0737520000000003
ISR;2023Q3;46039.9;A;2020.0;3.309284333333333
ISR;2023Q2;46263.0;A;2020.0;3.4927646666666665
ISR;2023Q1;46137.5;A;2020.0;3.893168333333333
ISR;2025Q3;46127.7;A;2020.0;3.0264736666666665
ISR;2025Q2;44963.0;A;2020.0;2.947134
ISR;2025Q1;45578.6;A;2020.0;2.874769
ISR;2024Q4;45206.3;A;2020.0;2.7225396666666666
IRL;2025Q1;129660.4;A;2020.0;4.433333333333334
IRL;2024Q4;119635.5;A;2020.0;4.333333333333333
IRL;2024Q3;116097.7;A;2020.0;4.233333333333333
IRL;2024Q2;109940.3;A;2020.0;4.4
IRL;2024Q1;111281.0;A;2020.0;4.266666666666667
IRL;2023Q4;108684.9;A;2020.0;4.466666666666667
IRL;2023Q3;112686.8;A;2020.0;4.3999999999999995
IRL;2023Q2;115548.8;A;2020.0;4.166666666666667
IRL;2023Q1;115864.3;A;2020.0;4.2
IRL;2025Q4;121369.5;A;2020.0;4.666666666666667
IRL;2025Q3;126951.9;A;2020.0;5.0
CZE;2023Q3;47095.4;A;2020.0;2.6333333333333333
CZE;2023Q1;47263.9;A;2020.0;2.533333333333333
CHL;2023Q4;28314.7;A;2020.0;8.894355
CHL;2023Q3;28289.3;A;2020.0;8.807789666666666
CHL;2023Q2;28092.2;A;2020.0;8.488384666666667
CHL;2023Q1;28035.1;A;2020.0;8.51452
CHL;2025Q4;29324.5;A;2020.0;8.580675666666666
HUN;2023Q2;39483.1;A;2020.0;4.0
HUN;2023Q3;40042.0;A;2020.0;4.1000000000000005
IRL;2025Q2;127893.5;A;2020.0;4.633333333333333
LUX;2024Q4;119030.7;A;2020.0;6.566666666666666
LUX;2024Q3;118082.9;A;2020.0;6.466666666666666
LUX;2024Q2;121573.6;A;2020.0;6.233333333333333
LUX;2024Q1;123442.8;A;2020.0;5.966666666666666
LUX;2023Q4;120295.5;A;2020.0;5.666666666666667
LUX;2023Q3;122730.7;A;2020.0;5.333333333333333
LUX;2023Q2;122539.2;A;2020.0;5.033333333333334
LUX;2023Q1;122574.0;A;2020.0;4.9
LTU;2025Q1;46212.2;A;2020.0;6.733333333333333
LTU;2024Q4;46035.3;A;2020.0;6.766666666666667
LTU;2024Q3;45700.8;A;2020.0;7.099999999999999
LTU;2024Q2;45104.7;A;2020.0;7.133333333333333
LTU;2024Q1;44895.8;A;2020.0;7.333333333333333
LTU;2023Q4;44534.6;A;2020.0;7.166666666666667
LTU;2023Q3;44645.2;A;2020.0;6.833333333333333
LTU;2023Q2;44507.8;A;2020.0;6.633333333333333
LTU;2023Q1;43810.7;A;2020.0;6.733333333333333
LTU;2025Q4;47564.5;A;2020.0;6.7
LTU;2025Q3;46682.2;A;2020.0;6.766666666666667
LTU;2025Q2;46553.4;A;2020.0;6.966666666666666
LVA;2024Q4;36311.7;A;2020.0;7.0
LVA;2025Q1;36656.0;A;2020.0;7.066666666666666
LVA;2023Q4;35600.6;A;2020.0;6.966666666666666
LVA;2025Q4;37935.5;A;2020.0;6.900000000000001
LVA;2024Q1;35665.9;A;2020.0;6.833333333333333
LVA;2024Q2;35971.0;A;2020.0;6.8999999999999995
LVA;2025Q3;37581.3;A;2020.0;7.1000000000000005
LVA;2025Q2;37069.8;A;2020.0;6.666666666666667
LVA;2024Q3;36101.4;A;2020.0;6.833333333333333
LVA;2023Q1;36090.8;A;2020.0;6.066666666666666
LVA;2023Q3;35718.7;A;2020.0;6.633333333333333
LVA;2023Q2;35737.1;A;2020.0;6.3999999999999995
FRA;2024Q2;55079.3;A;2020.0;7.433333333333334
FRA;2024Q1;54963.7;A;2020.0;7.5
FRA;2023Q4;54898.4;A;2020.0;7.566666666666666
DNK;2025Q3;70625.1;A;2020.0;6.3999999999999995
DNK;2025Q2;69066.1;A;2020.0;6.266666666666667
DNK;2024Q4;68970.3;A;2020.0;6.6000000000000005
DNK;2024Q3;68337.1;A;2020.0;6.3
DNK;2023Q3;65465.1;A;2020.0;4.833333333333333
DNK;2023Q2;65687.6;A;2020.0;4.8
DNK;2023Q1;66756.9;A;2020.0;4.8
ITA;2024Q4;52026.6;A;2020.0;6.2
SVN;2025Q1;47648.8;A;2020.0;3.9
