REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE
IRL;2025Q4;121369.5;A;2020.0
IRL;2025Q3;126951.9;A;2020.0
CZE;2023Q3;47095.4;A;2020.0
CZE;2023Q1;47263.9;A;2020.0
CHL;2023Q4;28314.7;A;2020.0
CHL;2023Q3;28289.3;A;2020.0
CHL;2023Q2;28092.2;A;2020.0
CHL;2023Q1;28035.1;A;2020.0
CHL;2025Q4;29324.5;A;2020.0
HUN;2023Q2;39483.1;A;2020.0
HUN;2023Q3;40042.0;A;2020.0
NZL;2023Q4;48507.8;A;2020.0
NZL;2023Q3;48611.9;A;2020.0
NZL;2025Q4;47735.4;A;2020.0
NZL;2025Q3;47797.6;A;2020.0
NZL;2025Q2;47438.8;A;2020.0
IRL;2025Q2;127893.5;A;2020.0
LUX;2024Q4;119030.7;A;2020.0
LUX;2024Q3;118082.9;A;2020.0
LUX;2024Q2;121573.6;A;2020.0
LUX;2024Q1;123442.8;A;2020.0
LUX;2023Q4;120295.5;A;2020.0
LUX;2023Q3;122730.7;A;2020.0
LUX;2023Q2;122539.2;A;2020.0
LUX;2023Q1;122574.0;A;2020.0
LTU;2025Q1;46212.2;A;2020.0
LTU;2024Q4;46035.3;A;2020.0
LTU;2024Q3;45700.8;A;2020.0
LTU;2024Q2;45104.7;A;2020.0
LTU;2024Q1;44895.8;A;2020.0
LTU;2023Q4;44534.6;A;2020.0
LTU;2023Q3;44645.2;A;2020.0
LTU;2023Q2;44507.8;A;2020.0
LTU;2023Q1;43810.7;A;2020.0
LTU;2025Q4;47564.5;A;2020.0
LTU;2025Q3;46682.2;A;2020.0
LTU;2025Q2;46553.4;A;2020.0
LVA;2024Q4;36311.7;A;2020.0
LVA;2025Q1;36656.0;A;2020.0
LVA;2023Q4;35600.6;A;2020.0
LVA;2025Q4;37935.5;A;2020.0
LVA;2024Q1;35665.9;A;2020.0
LVA;2024Q2;35971.0;A;2020.0
LVA;2025Q3;37581.3;A;2020.0
LVA;2025Q2;37069.8;A;2020.0
LVA;2024Q3;36101.4;A;2020.0
LVA;2023Q1;36090.8;A;2020.0
LVA;2023Q3;35718.7;A;2020.0
LVA;2023Q2;35737.1;A;2020.0
FRA;2024Q2;55079.3;A;2020.0
FRA;2024Q1;54963.7;A;2020.0
FRA;2023Q4;54898.4;A;2020.0
DNK;2025Q3;70625.1;A;2020.0
DNK;2025Q2;69066.1;A;2020.0
DNK;2024Q4;68970.3;A;2020.0
DNK;2024Q3;68337.1;A;2020.0
DNK;2023Q3;65465.1;A;2020.0
DNK;2023Q2;65687.6;A;2020.0
DNK;2023Q1;66756.9;A;2020.0
ITA;2024Q4;52026.6;A;2020.0
SVN;2025Q1;47648.8;A;2020.0
SVN;2024Q4;48053.6;A;2020.0
SVN;2024Q3;47805.1;A;2020.0
SVN;2024Q2;47775.7;A;2020.0
SVN;2024Q1;48072.3;A;2020.0
SVN;2023Q4;47629.9;A;2020.0
SVN;2023Q3;47269.2;A;2020.0
SVN;2023Q2;47355.7;A;2020.0
SVN;2023Q1;46761.5;A;2020.0
SVN;2025Q4;48712.3;A;2020.0
SVN;2025Q3;48552.1;A;2020.0
SVN;2025Q2;48092.1;A;2020.0
SVK;2024Q4;39194.4;A;2020.0
SVK;2024Q3;39086.0;A;2020.0
SVK;2024Q2;39041.2;A;2020.0
SVK;2023Q4;38710.6;A;2020.0
SVK;2023Q2;38224.6;A;2020.0
SVK;2023Q1;37867.6;A;2020.0
SVK;2024Q1;38937.7;A;2020.0
SVK;2025Q4;39556.1;A;2020.0
SVK;2025Q3;39450.0;A;2020.0
SVK;2025Q2;39333.9;A;2020.0
SVK;2025Q1;39259.2;A;2020.0
SVK;2023Q3;38523.6;A;2020.0
PRT;2023Q3;40715.1;A;2020.0
PRT;2023Q4;40908.8;A;2020.0
PRT;2023Q2;40765.7;A;2020.0
POL;2024Q3;43151.6;A;2020.0
POL;2024Q2;43153.7;A;2020.0
JPN;2025Q3;47471.4;A;2020.0
JPN;2024Q4;47251.6;A;2020.0
JPN;2024Q2;46608.5;A;2020.0
NOR;2025Q4;74869.1;A;2020.0
NOR;2023Q1;74596.8;A;2020.0
NOR;2023Q4;74404.7;A;2020.0
NOR;2023Q3;73132.4;A;2020.0
NOR;2023Q2;73967.6;A;2020.0
HUN;2024Q4;40269.4;A;2020.0
HUN;2023Q1;39447.8;A;2020.0
HUN;2024Q1;40168.1;A;2020.0
HUN;2024Q3;40100.4;A;2020.0
HUN;2023Q4;40068.3;A;2020.0
POL;2023Q4;41993.1;A;2020.0
POL;2023Q2;41281.3;A;2020.0
POL;2023Q1;41479.9;A;2020.0
POL;2023Q3;42102.7;A;2020.0
POL;2024Q1;42461.9;A;2020.0
NOR;2025Q3;75456.1;A;2020.0
NOR;2025Q2;74641.1;A;2020.0
NOR;2025Q1;73989.3;A;2020.0
NOR;2024Q4;73857.8;A;2020.0
NOR;2024Q3;74242.0;A;2020.0
NOR;2024Q2;75008.8;A;2020.0
NOR;2024Q1;74317.7;A;2020.0
GBR;2025Q4;54841.6;A;2020.0
GBR;2025Q3;54827.4;A;2020.0
GBR;2024Q1;54058.3;A;2020.0
GBR;2024Q2;54239.8;A;2020.0
GBR;2023Q1;54571.9;A;2020.0
GBR;2023Q4;53815.9;A;2020.0
GBR;2023Q3;54137.9;A;2020.0
GBR;2023Q2;54417.6;A;2020.0
GBR;2025Q2;54810.4;A;2020.0
CHE;2023Q3;79806.5;A;2020.0
CHE;2025Q1;80803.4;A;2020.0
CHE;2024Q4;80297.0;A;2020.0
CHE;2024Q3;80344.0;A;2020.0
CHE;2023Q2;79719.2;A;2020.0
CHE;2023Q1;80340.4;A;2020.0
CHE;2024Q2;80223.8;A;2020.0
CHE;2024Q1;79635.9;A;2020.0
CHE;2023Q4;79802.5;A;2020.0
CHE;2025Q4;80244.7;A;2020.0
CHE;2025Q3;80249.2;A;2020.0
CHE;2025Q2;80779.2;A;2020.0
SWE;2024Q2;60063.9;A;2020.0
SWE;2024Q1;60890.2;A;2020.0
SWE;2023Q4;59112.8;A;2020.0
SWE;2023Q3;60123.8;A;2020.0
SWE;2023Q2;59323.5;A;2020.0
SWE;2023Q1;59991.9;A;2020.0
SWE;2025Q3;61542.2;A;2020.0
SWE;2025Q2;61393.0;A;2020.0
SWE;2025Q1;60735.9;A;2020.0
SWE;2025Q4;62002.2;A;2020.0
FRA;2023Q3;54676.2;A;2020.0
FRA;2023Q2;54524.3;A;2020.0
FRA;2023Q1;54055.1;A;2020.0
JPN;2024Q1;46608.1;A;2020.0
JPN;2023Q4;46695.0;A;2020.0
JPN;2023Q3;46371.2;A;2020.0
