REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT
ROU;2025Q1;37148.5;P;2020.0;6.15
ROU;2025Q2;37520.0;P;2020.0;6.17
ROU;2025Q4;36794.0;P;2020.0;6.17
HRV;2025Q4;40817.81;P;2020.0;4.63
HRV;2025Q3;40288.55;P;2020.0;4.73
HRV;2025Q1;39820.47;P;2020.0;4.95
HRV;2025Q2;40148.66;P;2020.0;4.8
BGR;2025Q1;31442.1;P;2020.0;3.45
JPN;2025Q2;47760.1;P;2020.0;2.5
JPN;2025Q1;47463.9;P;2020.0;2.45
ESP;2025Q2;46609.5;P;2020.0;10.6
ESP;2025Q1;46370.7;P;2020.0;10.85
ESP;2025Q4;47065.2;P;2020.0;10.1
PRT;2025Q3;41570.0;P;2020.0;5.97
PRT;2025Q2;41426.8;P;2020.0;6.17
PRT;2025Q1;41352.7;P;2020.0;6.3
POL;2025Q2;44516.5;P;2020.0;3.07
POL;2025Q1;44088.1;P;2020.0;3.15
POL;2025Q4;45480.1;P;2020.0;3.2
POL;2025Q3;44969.5;P;2020.0;3.2
BEL;2025Q1;62261.3;P;2020.0;6.2
BEL;2025Q4;62463.0;P;2020.0;6.43
DEU;2025Q4;61366.1;P;2020.0;3.93
DEU;2025Q3;61167.3;P;2020.0;3.8
BEL;2025Q2;62340.8;P;2020.0;6.07
HUN;2025Q1;40293.7;P;2020.0;4.25
