REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE
LUX;2025Q2;119487.2;P;2020.0
LUX;2025Q1;119065.0;P;2020.0
LUX;2025Q4;119997.2;P;2020.0
LUX;2025Q3;120524.6;P;2020.0
ISL;2025Q4;63373.2;P;2020.0
ISL;2025Q3;64083.1;P;2020.0
ISL;2025Q2;63475.9;P;2020.0
ISL;2025Q1;64388.6;P;2020.0
HUN;2025Q4;40732.5;P;2020.0
HUN;2025Q3;40644.4;P;2020.0
HUN;2025Q2;40567.1;P;2020.0
BGR;2025Q3;31989.1;P;2020.0
BGR;2025Q2;31750.4;P;2020.0
BGR;2025Q4;32271.6;P;2020.0
ROU;2025Q3;37501.2;P;2020.0
PRT;2024Q4;41489.2;P;2020.0
PRT;2025Q4;41873.9;P;2020.0
ESP;2025Q3;46820.2;P;2020.0
SVN;2025Q1;47692.1;A;2020.0
DNK;2025Q1;68391.9;A;2020.0
BGR;2024Q4;31218.8;A;2020.0
MEX;2025Q3;21690.1;P;2020.0
ISL;2024Q4;62573.8;P;2020.0
GRC;2024Q4;36127.6;P;2020.0
BEL;2025Q3;62437.9;P;2020.0
ROU;2025Q1;37148.5;P;2020.0
ROU;2024Q4;37324.6;P;2020.0
ROU;2025Q2;37520.0;P;2020.0
ROU;2025Q4;36794.0;P;2020.0
HRV;2024Q4;39656.14;P;2020.0
HRV;2025Q4;40817.81;P;2020.0
HRV;2025Q3;40288.55;P;2020.0
HRV;2025Q1;39820.47;P;2020.0
HRV;2025Q2;40148.66;P;2020.0
BGR;2025Q1;31442.1;P;2020.0
JPN;2025Q2;47760.1;P;2020.0
JPN;2025Q1;47463.9;P;2020.0
ESP;2025Q2;46609.5;P;2020.0
ESP;2025Q1;46370.7;P;2020.0
ESP;2024Q4;46242.8;P;2020.0
ESP;2025Q4;47065.2;P;2020.0
PRT;2025Q3;41570.0;P;2020.0
PRT;2025Q2;41426.8;P;2020.0
PRT;2025Q1;41352.7;P;2020.0
POL;2025Q2;44516.5;P;2020.0
POL;2025Q1;44088.1;P;2020.0
POL;2025Q4;45480.1;P;2020.0
POL;2025Q3;44969.5;P;2020.0
BEL;2025Q1;62261.3;P;2020.0
BEL;2024Q4;62081.1;P;2020.0
BEL;2025Q4;62463.0;P;2020.0
DEU;2025Q4;61366.1;P;2020.0
DEU;2025Q3;61167.3;P;2020.0
BEL;2025Q2;62340.8;P;2020.0
HUN;2025Q1;40293.7;P;2020.0
